Proband;Values;start_1;end_1;start_2;end_2;start_3;end_3;Offset;LC_start;LC_end;track_base;track_wisch
1;"slope = -1.6
y_distance = 2820
v = 2500
h = 500
h2 = 850";20800;36500;85200;100600;142000;154000;11580;15;26;3;4
2;"slope = -1.6
y_distance = 2620
v = 2500
h = 0
h2 = 850";23900;44600;86900;110100;143600;170100;12450;7;52;2;3
3;"slope = -6
y_distance = 8000
v = 1660
h = 450
h2 = 600
orig_0 = TRUE";21000;31600;80600;91800;122600;151000;11520;24;12;1;2
4;"slope = -2.5
y_distance = 2520
v = 1500
h = 185
h2 = 350";21600;42500;85000;96900;140500;154100;11880;23;2;4;5
5;"slope = -1.6
y_distance = 2220
v = 2500
h = 450
h2 = 850";22600;36500;84400;103000;141700;154800;11550;19;36;3;4
6;"slope = 2
y_distance = -2850
v = 2500
h = -20
h2 = 1200";21200;38500;82300;96800;140000;154000;11570;16;35;6;1
7;"slope = -2.7
y_distance = 4280
v = 2500
h = 25
h2 = 970";22000;32800;81800;94000;139900;152400;11500;24;12;6;1
8;"slope = -2.7
y_distance = 4340
v = 2500
h = 25
h2 = 970";21600;35200;83000;94400;140000;152800;11580;20;9;3;4
9;"slope = -2.7
y_distance = 4340
v = 2500
h = 25
h2 = 970
original_0 = FALSE";21000;33000;81300;104800;137000;151200;11500;16;22;6;1
10;"slope = -2.5
y_distance = 4040
v = 2500
h = 500
h2 = 970";23000;39600;81700;100400;140800;152600;12250;20;21;1;2
11;"slope = -2.5
y_distance = 4160
v = 2250
h = 160
h2 = 970";21000;34100;79000;90500;138000;151600;11500;18;16;5;6
12;"slope = -2.5
y_distance = 4260
v = 2250
h = 160
h2 = 800";20800;35000;76800;91100;140700;155000;11630;21;6;2;3
13;"slope = -2.5
y_distance = 4540
v = 2250
h = 160
h2 = 970";22400;38900;82000;95300;138400;149200;11650;18;20;4;5
14;"slope = -2.8
y_distance = 5500
v = 2250
h = 380
h2 = 970";21000;33500;83000;100000;139000;166000;11650;17;28;4;5
15;"slope = -2.8
y_distance = 3870
v = 2250
h = 410
h2 = 810";22900;42000;79000;94000;137000;152000;12050;21;22;3;4
16;"slope = -1.6
y_distance = 2575
v = 2250
h = 500
h2 = 800";22800;37500;82500;97000;139000;152000;11650;23;13;4;5
17;"slope = -1.6
y_distance = 2620
v = 2200
h = 380
h2 = 850";22800;37000;77000;88200;141500;154000;11650;19;16;6;3
18;"slope = -1.3
y_distance = 2600
v = 2200
h = 500
h2 = 800";21000;37500;77000;90500;136500;156000;11500;20;7;4;1
19;"slope = -1.6
y_distance = 3260
v = 2200
h = 600
h2 = 1000";20500;42000;82600;99500;138000;154000;11330;20;13;5;1
20;"slope = -1.6
y_distance = 2750
v = 1900
h = 500
h2 = 700";22500;55200;77800;102000;140000;154300;11750;12;11;3;2
21;"slope = -0.35
y_distance = 1080
v = 3200
h = 0
h2 = 1500";23000;54000;77900;96300;140000;161600;12300;15;22;5;6
22;"slope = -0.35
y_distance = 1080
v = 1880
h = 540
h2 = 1000";20800;43200;77300;97500;139000;154600;11700;23;13;1;4
23;"slope = -0.35
y_distance = 1050
v = 1880
h = 540
h2 = 780";20800;37000;76800;89000;139000;152000;11700;23;0;3;7
24;"slope = -0.35
y_distance = 1100
v = 1900
h = 540
h2 = 800";20000;34800;77000;89200;137500;150500;11550;23;4;3;5
25;"slope = -4
y_distance = 7530
v = 3000
h = 200
h2 = 1200";21800;36000;76600;86000;138500;149500;11680;22;18;3;6
26;"slope = -0.8
y_distance = 2000
v = 2500
h = 550
h2 = 1400";23600;43600;78800;96200;139000;154000;12600;21;14;5;6
27;"slope = -1.6
y_distance = 3150
v = 2100
h = 600
h2 = 1000";22000;31100;78500;91400;140500;147600;12720;19;11;3;2
28;"slope = -1.6
y_distance = 3300
v = 2300
h = 500
h2 = 900";21500;46000;76500;98000;139600;154000;12100;21;21;4;5
29;"slope = -1.0
y_distance = 2040
v = 2500
h = 400
h2 = 800
orig_0 = FALSE";22000;33000;79700;93300;138000;151200;11900;17;32;1;2
30;"slope = -9
y_distance = 11500
v = 2000
h = 500
h2 = 1000";21380;35000;76500;84500;137900;150150;11690;16;17;5;6
31;"slope = -9
y_distance = 10800
v = 2000
h = 600
h2 = 1200
orig_0 = FALSE";22000;63300;79600;99000;139750;167400;11980;20;10;3;4
